0.00,시뮬레이션 시작,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Fusion,(0.00,-0.73,-22.29)
0.00,[설정] Speed: 5, Rotation Speed: 2, Avoid Radius: 5, Cluster Arrival Threshold: 0.8, Obstacle Layer: ,(0.00,-0.73,-22.29)
0.00,[선택 이유: a] 거리: 40.2, 쓰레기 수: 1500, 최종 점수: -1479.90,(0.00,-0.73,-22.29)
0.00,알고리즘 사용됨: Fusion,(0.00,-0.73,-22.29)
0.00,클러스터 a로 이동 시작,(0.00,-0.73,-22.29)
3.42,클러스터 a 도착,(9.43,-0.42,0.07)
3.42,클러스터 a 수거 시작,(9.43,-0.42,0.07)
150.68,시뮬레이션 강제 종료됨,(4.95,-0.16,1.48)
150.68,총 이동 거리: 614.56m,(4.95,-0.16,1.48)
150.68,2분 이내 수거 비율: 14.2% (540 / 3800),(4.95,-0.16,1.48)
150.68,장애물 충돌 횟수: 0,(4.95,-0.16,1.48)
